,city,page_link,sleeps,area_sqm,bedrooms,bathroom,price,currency
197,https://www.waytostay.com/paris-apartments/,https://www.waytostay.com/paris-apartments/general-larminat-24986/,3,39,1,1,61,€
198,https://www.waytostay.com/paris-apartments/,https://www.waytostay.com/paris-apartments/vieille-du-temple-24988/,4,29,1,1,35,€
199,https://www.waytostay.com/paris-apartments/,https://www.waytostay.com/paris-apartments/alasseur-24989/,4,37,1,1,26,€
200,https://www.waytostay.com/paris-apartments/,https://www.waytostay.com/paris-apartments/greneta-24990/,5,90,2,2,46,€
201,https://www.waytostay.com/paris-apartments/,https://www.waytostay.com/paris-apartments/campo-formio-24994/,4,40,1,1,45,€
202,https://www.waytostay.com/paris-apartments/,https://www.waytostay.com/paris-apartments/claude-vellefaux-25015/,4,40,1,1,36,€
203,https://www.waytostay.com/paris-apartments/,https://www.waytostay.com/paris-apartments/danjou-25016/,4,45,1,1,28,€
204,https://www.waytostay.com/paris-apartments/,https://www.waytostay.com/paris-apartments/jemmapes-25017/,5,74,2,1,40,€
205,https://www.waytostay.com/paris-apartments/,https://www.waytostay.com/paris-apartments/saints-peres-25018/,2,30,1,1,145,€
206,https://www.waytostay.com/paris-apartments/,https://www.waytostay.com/paris-apartments/saint-sebastien-25019/,4,40,1,1,46,€
207,https://www.waytostay.com/paris-apartments/,https://www.waytostay.com/paris-apartments/charonne-25020/,2,32,1,1,75,€
208,https://www.waytostay.com/paris-apartments/,https://www.waytostay.com/paris-apartments/avenue-de-lopera-25021/,4,45,2,2,69,€
209,https://www.waytostay.com/paris-apartments/,https://www.waytostay.com/paris-apartments/saint-dominique-25023/,4,65,2,1,71,€
210,https://www.waytostay.com/paris-apartments/,https://www.waytostay.com/paris-apartments/heredia-25034/,6,90,2,2,50,€
211,https://www.waytostay.com/paris-apartments/,https://www.waytostay.com/paris-apartments/jean-goujon-25035/,4,52,1,1,56,€
212,https://www.waytostay.com/paris-apartments/,https://www.waytostay.com/paris-apartments/archives-25041/,4,30,1,1,52,€
213,https://www.waytostay.com/paris-apartments/,https://www.waytostay.com/paris-apartments/rambuteau-25042/,6,75,2,2,51,€
214,https://www.waytostay.com/paris-apartments/,https://www.waytostay.com/paris-apartments/bonaparte-25050/,4,85,2,2,107,€
215,https://www.waytostay.com/paris-apartments/,https://www.waytostay.com/paris-apartments/braque-25055/,3,30,studio,1,67,€
216,https://www.waytostay.com/berlin-apartments/,https://www.waytostay.com/berlin-apartments/viktoria-luise-platz-0490/,6,110,2,1,19,€
